id,flight_id,timestamp,roll,pitch,yaw,accX,accY,accZ,temp,pres,hum,latitude,longitude,altitude,altitude_calc1,altitude_calc2,altitude_calc3,satellites
847,33,1761115620965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,33,1761115620970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,33,1761115620981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,33,1761115620987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,33,1761115621001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,33,1761115623984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,33,1761115623986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,33,1761115623994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,33,1761115624000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,33,1761115624003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,33,1761115627010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,33,1761115627016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,33,1761115627022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,33,1761115627024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,33,1761115627029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,33,1761115630036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,33,1761115630050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,33,1761115630053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,33,1761115630060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,33,1761115630067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,33,1761115633063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,33,1761115633068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,33,1761115633075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,33,1761115633077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,33,1761115633085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,33,1761115636090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,33,1761115636094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,33,1761115636101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,33,1761115636108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,33,1761115636110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,33,1761115639116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,33,1761115639120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,33,1761115639128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,33,1761115639134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,33,1761115639136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,33,1761115642143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,33,1761115642147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,33,1761115642154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,33,1761115642158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,33,1761115642160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,33,1761115645171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,33,1761115645176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,33,1761115645182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,33,1761115645188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,33,1761115645191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,33,1761115648197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,33,1761115648202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,33,1761115648207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,33,1761115648211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,33,1761115648213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,33,1761115651224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,33,1761115651228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,33,1761115651235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,33,1761115651239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,33,1761115651242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,33,1761115654251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,33,1761115654255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,33,1761115654263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,33,1761115654267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,33,1761115654268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,34,1761115762838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,34,1761115762842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,34,1761115762852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,34,1761115762856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,34,1761115762868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,34,1761115765858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,34,1761115765861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,34,1761115765868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,34,1761115765873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,34,1761115765875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
