id,flight_id,timestamp,event_type,source,message
50,10,2025-10-21 17:13:49,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
51,10,2025-10-21 17:13:49,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
52,10,2025-10-21 17:13:49,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
53,10,2025-10-21 17:13:49,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
54,10,2025-10-21 17:13:49,error,gps,SATS: 0
55,10,2025-10-21 17:13:52,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
56,10,2025-10-21 17:13:52,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
57,10,2025-10-21 17:13:52,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
58,10,2025-10-21 17:13:52,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
59,10,2025-10-21 17:13:52,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
60,10,2025-10-21 17:13:52,error,gps,SATS: 0
61,10,2025-10-21 17:13:55,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
62,10,2025-10-21 17:13:55,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
63,10,2025-10-21 17:13:55,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
64,10,2025-10-21 17:13:55,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
65,10,2025-10-21 17:13:55,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
66,10,2025-10-21 17:13:55,error,gps,SATS: 0
67,10,2025-10-21 17:13:58,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
68,10,2025-10-21 17:13:58,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
69,10,2025-10-21 17:13:58,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
70,10,2025-10-21 17:13:58,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
71,10,2025-10-21 17:13:58,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
72,10,2025-10-21 17:13:58,error,gps,SATS: 0
73,10,2025-10-21 17:14:01,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
74,10,2025-10-21 17:14:01,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
75,10,2025-10-21 17:14:02,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
76,10,2025-10-21 17:14:02,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
77,10,2025-10-21 17:14:02,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
